Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2015-12-13,1.12,1254805.29,15990.38,975504.52,1657.92,261652.47,222446.62,39205.85,,conventional,2015,NewYork
2016-06-05,1.28,3011.11,55.96,2281.21,0.0,673.94,526.67,147.27,,organic,2016,GrandRapids
2015-01-11,1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,conventional,2015,GreatLakes
2017-05-21,1.25,628075.85,126440.43,172836.79,745.56,328053.07,327052.45,154.61,,conventional,2017,Seattle
2015-05-03,1.55,6372.85,45.29,5832.35,20.71,474.5,474.5,0.0,,organic,2015,HartfordSpringfield
2017-12-24,1.54,5711.05,210.66,1517.29,0.0,3983.1,3652.57,330.53,0.0,organic,2017,Roanoke
2016-05-22,0.91,113794.41,2002.85,77719.29,2243.57,31828.7,13628.45,17376.34,823.91,conventional,2016,Louisville
2017-03-26,1.28,430467.52,,128683.21,20148.75,148387.88,147197.26,285.62,,conventional,2017,SanDiego
2016-10-09,0.91,27051.5,,8511.22,0.0,17862.17,1015.23,16846.94,0.0,organic,2016,Detroit
2016-02-14,1.13,154975.46,3573.23,98244.04,14048.13,39110.06,28771.2,6755.11,,conventional,2016,GrandRapids
2017-02-19,0.76,869425.93,,176142.73,16930.22,524637.27,354510.94,169575.72,,conventional,2017,Portland
2016-05-08,0.64,3942054.31,1416928.16,929683.64,107683.95,1487758.56,1104179.23,362931.85,20647.48,conventional,2016,LosAngeles
2016-08-14,1.03,1114834.28,266260.92,757100.85,31009.27,60463.24,58400.39,900.35,,conventional,2016,SanFrancisco
2015-11-22,1.06,354986.48,83984.24,218912.41,12684.6,39405.23,39405.23,0.0,0.0,conventional,2015,Sacramento
2015-08-09,1.25,731125.01,18237.36,526303.06,104796.41,81788.18,79510.48,1904.8,372.9,conventional,2015,Chicago
2018-02-11,1.75,7732.34,1448.4,752.88,1.75,5529.31,3018.89,2510.42,,organic,2018,StLouis
2016-04-24,0.96,3735389.44,624804.28,1787143.44,323412.26,1000029.46,759838.81,217342.89,,conventional,2016,GreatLakes
2017-06-04,1.56,5718.65,,1976.71,0.0,3283.87,46.67,3237.2,0.0,organic,2017,Spokane
2017-06-25,1.17,25446.92,4521.58,3679.04,27.25,17219.05,3967.53,13251.52,,organic,2017,Denver
2017-06-04,1.49,687913.86,449727.4,85907.47,238.92,152040.07,84992.72,64412.35,,conventional,2017,MiamiFtLauderdale
2017-10-22,1.86,14482.57,265.15,3671.03,0.0,10546.39,5671.95,4874.44,0.0,organic,2017,CincinnatiDayton
2018-03-18,0.99,7254940.65,,1707752.84,115997.93,3332107.22,1333247.05,1982086.02,,conventional,2018,West
2017-08-06,1.58,540879.33,125451.64,146938.76,16332.57,252156.36,162070.46,89822.94,,conventional,2017,Portland
2015-08-30,1.74,33530.11,9183.16,8692.14,802.48,14852.33,12185.97,2666.36,0.0,organic,2015,Southeast
2017-06-11,1.62,114081.68,1737.4,75551.59,78.57,36714.12,30261.23,1937.89,,conventional,2017,BuffaloRochester
2017-07-09,1.49,6879.0,103.67,3658.81,0.0,3116.52,1833.89,1282.63,,organic,2017,Nashville
2016-07-10,1.29,111914.65,,57549.45,1294.98,51533.28,37858.19,10065.09,,conventional,2016,Pittsburgh
2017-04-16,2.24,10247.33,,6574.76,531.29,2938.79,2488.55,450.24,,organic,2017,RaleighGreensboro
2018-02-04,1.58,5109.24,54.15,2042.32,0.0,3012.77,2310.41,702.36,0.0,organic,2018,Nashville
2015-04-26,1.24,779868.01,46749.43,543002.3,97410.38,92705.9,88341.96,3573.83,,conventional,2015,Chicago
2017-11-05,1.41,1319642.14,61830.21,632293.37,600.5,624918.06,563910.07,60984.25,23.74,conventional,2017,NewYork
2015-05-24,1.0,195410.86,139484.96,13258.26,1049.26,41618.38,20782.4,20835.98,0.0,conventional,2015,Jacksonville
2015-04-12,1.33,396728.35,134346.5,184720.11,11710.31,65951.43,65783.96,144.77,22.7,conventional,2015,Seattle
2017-03-05,1.39,3078856.36,1616582.26,446313.48,6013.44,1009947.18,636964.49,368181.02,,conventional,2017,Southeast
2016-02-28,0.99,135623.05,52420.43,48195.34,149.25,34858.03,33709.28,1148.75,,conventional,2016,Roanoke
2017-02-05,1.2,486542.38,52460.96,356398.62,23027.59,54655.21,49803.73,3869.41,,conventional,2017,HartfordSpringfield
2015-08-09,1.08,186733.16,,120579.39,8389.85,52956.51,49559.83,3294.27,102.41,conventional,2015,GrandRapids
2015-04-19,1.42,139612.52,1021.72,52954.82,59.18,85576.8,85056.94,519.86,,conventional,2015,BuffaloRochester
2016-02-14,1.34,696959.32,200199.01,357790.26,39859.46,99110.59,98394.37,688.22,28.0,conventional,2016,SanFrancisco
2017-12-31,1.79,26040.03,142.0,16241.0,0.0,9657.03,9650.37,6.66,0.0,organic,2017,Chicago
2016-09-11,1.02,156833.09,59141.58,38349.72,164.15,59177.64,52831.12,6321.52,,conventional,2016,Roanoke
2016-12-04,1.25,21047.85,6160.17,124.16,0.0,14763.52,14743.93,19.59,,organic,2016,DallasFtWorth
2015-06-21,1.83,3485.49,2154.15,1059.48,0.0,271.86,125.2,146.66,,organic,2015,StLouis
2018-02-25,1.6,10821.89,652.89,894.42,0.0,9274.58,7767.78,1506.8,,organic,2018,MiamiFtLauderdale
2016-01-03,1.41,10975.51,1991.55,5916.03,0.0,3067.93,614.85,2453.08,,organic,2016,SanDiego
2016-09-11,0.98,83096.19,25160.86,14719.48,1572.45,41643.4,41633.69,0.0,,conventional,2016,Spokane
2017-09-03,1.61,2176974.29,1050438.58,441327.04,112400.98,572807.69,521219.23,15575.83,,conventional,2017,LosAngeles
2016-06-19,1.37,4509.52,248.19,1839.21,0.0,2422.12,1186.19,1235.93,0.0,organic,2016,Indianapolis
2015-08-02,1.07,67763.91,51151.27,5140.89,5435.36,6036.39,5987.5,48.89,,conventional,2015,Boise
2016-09-18,1.51,2714.12,549.78,263.49,0.0,1900.85,360.0,1540.85,,organic,2016,Spokane
2015-12-27,0.98,625475.1,93034.2,246747.13,19103.69,266590.08,38620.02,227884.21,,conventional,2015,Denver
2018-03-18,1.58,69790.75,5124.88,20091.33,14.68,44559.86,32906.16,11653.7,,organic,2018,Plains
2017-07-16,1.56,3525.61,22.61,39.69,0.0,3463.31,3459.98,3.33,,organic,2017,Tampa
2017-05-28,2.22,15955.26,2251.74,6632.02,7.74,7063.76,7043.24,20.52,,organic,2017,Philadelphia
2015-06-07,1.92,3892.36,1910.2,1704.54,0.0,277.62,103.33,174.29,0.0,organic,2015,StLouis
2017-07-02,1.02,32953.66,8791.93,475.31,0.0,23686.42,23602.46,83.96,0.0,organic,2017,DallasFtWorth
2016-04-03,1.58,81780.18,3501.88,43194.1,2339.96,32744.24,22985.45,9758.79,,organic,2016,Midsouth
2017-03-05,0.67,1176932.6,551312.9,221516.99,15504.1,388598.61,250902.57,136918.26,777.78,conventional,2017,PhoenixTucson
2017-01-29,1.21,445251.37,,90757.43,207.75,170777.93,93866.67,76118.2,,conventional,2017,Tampa
2016-08-21,1.36,4345.97,,65.81,0.0,4230.0,4170.0,60.0,0.0,organic,2016,Tampa
2016-04-17,1.76,4295.0,0.0,164.9,0.0,4130.1,602.65,3527.45,,organic,2016,BuffaloRochester
2016-01-03,1.13,502583.68,,44399.13,40.78,108151.02,64404.45,43746.57,,conventional,2016,MiamiFtLauderdale
2018-02-04,0.96,678235.27,304189.26,97949.8,4065.74,272030.47,200563.64,68207.94,,conventional,2018,SouthCarolina
2017-01-08,1.41,61788.03,5147.21,14914.5,341.38,41384.94,20688.4,20696.54,0.0,organic,2017,Southeast
2016-05-15,1.44,63876.47,,10954.62,341.16,38479.75,32194.5,6285.25,,organic,2016,Southeast
2015-09-06,1.02,502677.35,271640.29,165034.84,19961.19,46041.03,41719.29,4321.74,,conventional,2015,SanDiego
2017-07-02,1.33,3979264.02,2219034.51,549006.94,4778.63,1206443.94,676830.5,437058.12,,conventional,2017,Southeast
2017-08-13,1.36,370979.09,154159.71,86025.66,2120.0,128673.72,93633.15,28100.57,6940.0,,2017,SouthCarolina
2016-05-08,1.7,3174.26,1850.51,155.45,4.97,1163.33,1163.33,0.0,,organic,2016,Jacksonville
2017-04-23,1.34,89327.1,4437.5,61512.84,84.45,23292.31,8236.01,15056.3,,conventional,2017,Albany
2015-09-27,1.28,202457.31,114107.06,41995.26,142.31,46212.68,29149.95,17062.73,,conventional,2015,Orlando
2017-01-01,1.59,1913.69,,1395.31,0.0,513.34,513.34,0.0,,,2017,Louisville
2015-09-06,1.02,33526480.08,12569277.14,14245598.38,1129771.19,5581833.37,4363707.93,1184888.95,,conventional,2015,TotalUS
2017-11-12,1.23,442150.0,120349.0,268009.0,984.0,52808.0,48720.0,546.0,,conventional,2017,Sacramento
2015-01-11,1.38,232640.15,4365.27,143001.84,223.15,85049.89,83319.8,1730.09,,conventional,2015,HartfordSpringfield
2017-02-05,1.13,701706.0,23160.46,625037.0,4984.23,48524.31,48524.31,0.0,,conventional,2017,NorthernNewEngland
2015-05-31,1.04,166214.14,117285.11,8351.55,11839.0,28738.48,24244.27,4413.3,,conventional,2015,Nashville
2017-07-02,1.2,12497.92,163.03,3207.0,0.0,9127.89,1961.11,7166.78,0.0,organic,2017,Nashville
2017-10-01,1.61,189529.26,58261.77,67847.94,62.85,63356.7,43605.94,19750.76,0.0,conventional,2017,LasVegas
2016-12-25,0.68,72161.05,2888.38,7043.82,9.89,62218.96,638.89,61580.07,,organic,2016,Portland
2016-01-17,0.81,7221572.36,2091961.92,2079267.92,181519.92,2868822.6,1515056.35,1352291.24,1475.01,conventional,2016,West
2015-09-06,0.58,1390417.77,937165.6,293505.07,6101.99,153645.11,93116.34,60528.77,0.0,conventional,2015,PhoenixTucson
2016-01-31,1.28,4289.51,392.6,2600.03,0.0,1296.88,154.14,1142.74,0.0,organic,2016,Columbus
2016-05-01,1.03,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,,conventional,2016,Albany
2015-09-20,1.36,25808.98,,3509.31,13.7,16176.25,356.67,15819.58,,organic,2015,Denver
2017-08-13,1.85,200716.07,7031.08,35496.01,220.3,157968.68,146634.24,11334.44,,organic,2017,Northeast
2017-03-12,1.35,254377.74,72440.76,98330.92,2941.28,80664.78,78718.53,1946.25,,,2017,RichmondNorfolk
2015-08-16,1.82,9064.11,,5555.73,0.0,745.58,745.58,0.0,,organic,2015,SanDiego
2017-04-02,1.2,94905.4,41043.29,3616.58,9919.67,40325.86,40187.35,115.56,,conventional,2017,Boise
2017-01-15,0.78,419687.35,118904.72,80217.63,7692.26,212872.74,59471.06,153401.68,,conventional,2017,LasVegas
2018-02-04,0.88,1802646.35,257095.68,1235325.42,158735.41,151489.84,91953.59,59112.77,,conventional,2018,Chicago
2017-10-29,1.29,520629.7,,128666.04,15431.79,223927.25,175517.41,47898.67,511.17,conventional,2017,Portland
2016-07-03,1.49,21506.43,,11972.74,0.0,7638.42,7634.78,3.64,0.0,organic,2016,SanDiego
2015-01-18,1.02,116450.21,55532.76,26458.99,7040.95,27417.51,24386.64,2962.41,68.46,conventional,2015,Columbus
2015-06-28,1.2,81276.47,,26660.48,6367.68,9944.71,9944.71,0.0,,conventional,2015,Spokane
2017-04-16,1.29,465624.88,148202.16,137653.99,22572.45,157196.28,156168.83,122.45,,conventional,2017,SanDiego
2018-02-25,1.45,9345.93,256.43,1278.39,0.0,7761.04,4655.23,3105.81,0.0,organic,2018,Indianapolis
2016-01-03,1.05,449263.47,350316.16,32958.06,396.68,65592.57,43674.84,21906.93,,conventional,2016,Atlanta
2015-11-22,1.97,6249.43,,2873.92,30.95,1611.16,1590.0,21.16,,organic,2015,WestTexNewMexico
2016-02-07,1.49,13712.44,1451.0,4199.43,37.92,8024.09,7913.5,110.59,,organic,2016,WestTexNewMexico
2016-08-14,1.41,114328.4,2645.81,72836.99,71.45,38774.15,37629.15,0.0,,conventional,2016,BuffaloRochester
2017-04-30,1.14,11100.24,387.36,2926.48,0.0,7786.4,192.66,7593.74,,organic,2017,Nashville
2016-07-24,1.67,68443.21,15723.85,15761.64,968.77,35988.95,33725.71,2263.24,,organic,2016,Southeast
2017-01-29,1.18,7932.55,339.58,3824.05,0.0,3768.92,1293.27,2475.65,,organic,2017,Roanoke
2017-12-03,1.25,80838.0,2791.0,57129.0,47.0,20871.0,19354.0,1517.0,,conventional,2017,Syracuse
2016-03-13,1.18,51451.83,409.24,15023.6,41.84,35977.15,10152.23,25824.92,0.0,organic,2016,Seattle
2015-05-24,1.77,1811.7,,16.06,0.0,759.6,751.37,8.23,,organic,2015,MiamiFtLauderdale
2016-09-11,1.34,885728.19,202958.24,494756.39,19881.72,168131.84,162753.29,4043.27,,conventional,2016,BaltimoreWashington
2017-08-20,1.6,168054.68,77753.47,20659.5,233.13,69408.58,60881.95,5823.82,2702.81,conventional,2017,StLouis
2015-06-07,2.34,3478.25,,2787.48,1.32,413.07,413.07,0.0,,organic,2015,HartfordSpringfield
2018-02-04,1.41,16592.21,352.86,3254.9,50.98,12933.47,12581.65,351.82,0.0,organic,2018,RichmondNorfolk
