Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,Third Class,male,22.0,1,0,7.25,S
1,First class,female,38.0,1,0,71.2833,C
1,Third Class,female,26.0,0,0,7.925,S
1,First class,female,35.0,1,0,53.1,S
0,Third Class,male,35.0,0,0,8.05,S
0,First class,male,54.0,0,0,51.8625,S
0,Third Class,male,2.0,3,1,21.075,S
1,Third Class,female,27.0,0,2,11.1333,S
1,Second Class,female,14.0,1,0,30.0708,C
1,Third Class,female,4.0,1,1,16.7,S
1,First class,female,58.0,0,0,26.55,S
0,Third Class,male,20.0,0,0,8.05,S
0,Third Class,male,39.0,1,5,31.275,S
0,Third Class,female,14.0,0,0,7.8542,S
1,Second Class,female,55.0,0,0,16.0,S
0,Third Class,male,2.0,4,1,29.125,Q
0,Third Class,female,31.0,1,0,18.0,S
0,Second Class,male,35.0,0,0,26.0,S
1,Second Class,male,34.0,0,0,13.0,S
1,Third Class,female,15.0,0,0,8.0292,Q
1,First class,male,28.0,0,0,35.5,S
0,Third Class,female,8.0,3,1,21.075,S
1,Third Class,female,38.0,1,5,31.3875,S
0,First class,male,19.0,3,2,263.0,S
0,First class,male,40.0,0,0,27.7208,C
0,Second Class,male,66.0,0,0,10.5,S
0,First class,male,28.0,1,0,82.1708,C
0,First class,male,42.0,1,0,52.0,S
0,Third Class,male,21.0,0,0,8.05,S
0,Third Class,female,18.0,2,0,18.0,S
1,Third Class,female,14.0,1,0,11.2417,C
0,Third Class,female,40.0,1,0,9.475,S
0,Second Class,female,27.0,1,0,21.0,S
1,Second Class,female,3.0,1,2,41.5792,C
1,Third Class,female,19.0,0,0,7.8792,Q
0,Third Class,female,18.0,1,0,17.8,S
0,Third Class,male,7.0,4,1,39.6875,S
0,Third Class,male,21.0,0,0,7.8,S
1,First class,female,49.0,1,0,76.7292,C
1,Second Class,female,29.0,1,0,26.0,S
0,First class,male,65.0,0,1,61.9792,C
1,Second Class,female,21.0,0,0,10.5,S
0,Third Class,male,28.5,0,0,7.2292,C
1,Second Class,female,5.0,1,2,27.75,S
0,Third Class,male,11.0,5,2,46.9,S
0,Third Class,male,22.0,0,0,7.2292,C
0,First class,male,45.0,1,0,83.475,S
0,Third Class,male,4.0,3,2,27.9,S
1,Second Class,female,29.0,0,0,10.5,S
0,Third Class,male,19.0,0,0,8.1583,S
1,Third Class,female,17.0,4,2,7.925,S
0,Third Class,male,26.0,2,0,8.6625,S
0,Second Class,male,32.0,0,0,10.5,S
0,Third Class,female,16.0,5,2,46.9,S
0,Second Class,male,21.0,0,0,73.5,S
0,Third Class,male,26.0,1,0,14.4542,C
1,Third Class,male,32.0,0,0,56.4958,S
0,Third Class,male,25.0,0,0,7.65,S
1,Second Class,male,0.83,0,2,29.0,S
1,Third Class,female,30.0,0,0,12.475,S
0,Third Class,male,22.0,0,0,9.0,S
1,Third Class,male,29.0,0,0,9.5,S
0,First class,male,28.0,0,0,47.1,S
1,Second Class,female,17.0,0,0,10.5,S
1,Third Class,female,33.0,3,0,15.85,S
0,Third Class,male,16.0,1,3,34.375,S
1,First class,female,23.0,3,2,263.0,S
0,Third Class,male,24.0,0,0,8.05,S
0,Third Class,male,29.0,0,0,8.05,S
0,Third Class,male,20.0,0,0,7.8542,S
0,First class,male,46.0,1,0,61.175,S
0,Third Class,male,26.0,1,2,20.575,S
